"In Ontario, there is a seat belt law",A. Yes,true
"In Ontario, there is a seat belt law",B. No,false
"In Ontario, there is a seat belt law",C. Only when driving on an open highway,false
"In Ontario, there is a seat belt law",D. Only when driving within a municipality,false
"If someone is tailgating you, what should you do?",A. Move into another lane when it is safe to do so,false
"If someone is tailgating you, what should you do?",B. Slow down slightly to increase the space in front of your car,false
"If someone is tailgating you, what should you do?",C. Pull over to let the tailgater pass,false
"If someone is tailgating you, what should you do?",D. All of the above,true
Failing to stop for a school bus that is unloading passengers will,A. Result in a one year jail sentence,false
Failing to stop for a school bus that is unloading passengers will,B. Cost you 6 demerit points and a fine of up to $1000,true
Failing to stop for a school bus that is unloading passengers will,C. Get you a warning and a fine of $100,false
Failing to stop for a school bus that is unloading passengers will,D. Result in retaking your road test,false
"When a car is stopped to allow a pedestrian to cross the street at a marked crosswalk, you should",A. Pass the stopped car on the left,false
"When a car is stopped to allow a pedestrian to cross the street at a marked crosswalk, you should",B. Sound horn for the driver of the stopped car to drive on,false
"When a car is stopped to allow a pedestrian to cross the street at a marked crosswalk, you should",C. Pass the stopped car to the right,false
"When a car is stopped to allow a pedestrian to cross the street at a marked crosswalk, you should",D. Not pass any car stopped to allow a pedestrian to cross,true
"When driving in heavy fog, you should use","A. Parking lights",false
"When driving in heavy fog, you should use","B. Low beam headlights",true
"When driving in heavy fog, you should use","C. Parking lights and high beam headlights",false
"When driving in heavy fog, you should use","D. High beam headlights",false
"Never change lanes in traffic without","A. Giving proper signal and looking to make sure the move can be made safely",true
"Never change lanes in traffic without","B. Decreasing speed and giving the correct signal",false
"Never change lanes in traffic without","C. Looking into the rear view mirror only",false
"Never change lanes in traffic without","D. Blowing your horn and looking to the rear",false
"What documents may a police officer require a motor vehicle owner to produce?","A. If the motor vehicle is insured—a liability insurance card",false
"What documents may a police officer require a motor vehicle owner to produce?","B. The motor vehicle ownership",false
"What documents may a police officer require a motor vehicle owner to produce?","C. If he is operating a motor vehicle—a valid driver’s licence",false
"What documents may a police officer require a motor vehicle owner to produce?","D. Any of the above",true
"Every accident must be reported to the police where there is personal injury or when the damage exceeds","A. $100",false
"Every accident must be reported to the police where there is personal injury or when the damage exceeds","B. $150",false
"Every accident must be reported to the police where there is personal injury or when the damage exceeds","C. $1500",false
"Every accident must be reported to the police where there is personal injury or when the damage exceeds","D. $1000",true
"If you are a teenage driver with your G2 licence for 6 months and until you obtain your full G licence or turn 20, how many passengers are you allowed to carry between midnight and 5 a.m.?","A. 3 passengers aged 19 or under (no restrictions for passengers the age of 20 and over)",true
"If you are a teenage driver with your G2 licence for 6 months and until you obtain your full G licence or turn 20, how many passengers are you allowed to carry between midnight and 5 a.m.?","B. No passengers aged 19 or under",false
"If you are a teenage driver with your G2 licence for 6 months and until you obtain your full G licence or turn 20, how many passengers are you allowed to carry between midnight and 5 a.m.?","C. 1 passenger aged 19 or under",false
"If you are a teenage driver with your G2 licence for 6 months and until you obtain your full G licence or turn 20, how many passengers are you allowed to carry between midnight and 5 a.m.?","D. 2 passengers aged 19 or under",false
"A 'No Parking' sign at a certain location means","A. You may stop here if the driver remains in the vehicle",false
"A 'No Parking' sign at a certain location means","B. You may park your vehicle for less than five minutes",false
